epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7385,2.28345,4.21148,1.46052,0.0143,0.18562,0.00183,0.00119,1.80958,inf,1.23915,0.00014443,0.00014443,0.00014443
2,62.6746,2.12732,2.90156,1.21239,0.05528,0.08491,0.04396,0.01748,2.06852,inf,1.29874,0.000270273,0.000270273,0.000270273
3,88.054,2.12099,2.07246,1.14826,0.9051,0.09575,0.06726,0.02955,1.86836,2.00952,1.18502,0.000365319,0.000365319,0.000365319
4,113.87,2.18924,1.72289,1.13499,0.91911,0.10054,0.08887,0.03973,1.90669,1.53831,1.1821,0.000429568,0.000429568,0.000429568
5,140.597,2.10419,1.63098,1.11129,0.92931,0.10394,0.10265,0.04951,1.86327,1.3722,1.14712,0.00046302,0.00046302,0.00046302
6,166.318,2.01238,1.47958,1.08598,0.9427,0.10875,0.11021,0.05358,1.84517,1.40033,1.16426,0.000465676,0.000465676,0.000465676
7,190.9,1.97274,1.47529,1.09391,0.94294,0.11534,0.11703,0.06166,1.73188,1.25165,1.10679,0.000437534,0.000437534,0.000437534
8,217.857,1.98698,1.41771,1.10001,0.95021,0.11903,0.12178,0.06362,1.74019,1.31548,1.1045,0.000341077,0.000341077,0.000341077
9,243.761,1.92998,1.33032,1.0684,0.95482,0.11851,0.12454,0.06569,1.71961,1.32229,1.10129,0.000231088,0.000231088,0.000231088
10,267.594,1.917,1.30323,1.069,0.95129,0.12181,0.12425,0.06727,1.68549,1.24857,1.09659,0.000121099,0.000121099,0.000121099
